name,address,ratings,category,description,location
Tuan Tuong Eco-Garden,"693 Nhon Loc 1A Hamlet, Phong Dien Town, Phong Dien District",4.6,Landmarks,"A local eco-garden and restaurant in Phong Dien, offering fresh fruit, local cuisine, and a tranquil, rural atmosphere.",Can Tho 
Ho Chi Minh Monument,"24 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A large bronze statue of Ho Chi Minh located at Ninh Kieu Wharf, a major city landmark.",Can Tho 
Poet Phan Van Tri's Tomb Historical Site,"Phong Dien Town, Phong Dien District",4.3,Museums,"A historical site and tomb dedicated to Phan Van Tri, a prominent 19th-century patriotic poet.",Can Tho 
Ngoc Huong My Khanh Dragon Fruit Garden,"37, Group 15, My Nhon Hamlet, My Khanh Commune, Phong Dien District",4.8,Landmarks,"A local farm specializing in growing dragon fruit, open to visitors for tours and tasting.",Can Tho 
Cai Rang Floating Market,"An Binh Ward, Ninh Kieu District",4.1,Landmarks,"The largest and most famous floating market in the Mekong Delta, where locals trade fruits, vegetables, and goods from boats.",Can Tho 
Ninh Kieu Wharf,"106 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.4,Landmarks,"A scenic riverside park and boat pier in the center of Can Tho, popular for evening strolls, boat tours, and floating restaurants.",Can Tho 
Truc Lam Phuong Nam Zen Monastery,"Provincial Road 923, My Khanh Commune, Phong Dien District",4.6,Shrines/Temples,"The largest Zen monastery in the Mekong Delta, known for its grand, traditional Vietnamese Buddhist architecture.",Can Tho 
My Khanh Tourist Village,"335 My Nhon Hamlet, My Khanh Commune, Phong Dien District",4,Landmarks,"An eco-tourism village offering a glimpse of rural Mekong Delta life, with fruit orchards, folk games, and a small zoo.",Can Tho 
Can Tho Museum,"1 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.2,Museums,"A large museum showcasing the history, culture, and achievements of Can Tho city and the surrounding Mekong Delta region.",Can Tho 
Hung King Temple,"Vo Van Kiet Street, Binh Thuy Ward, Binh Thuy District",4.6,Shrines/Temples,"A newly built, large-scale temple complex dedicated to the Hung Kings, the legendary founders of Vietnam.",Can Tho 
Can Tho Love Bridge,"Ninh Kieu Pedestrian Bridge, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A pedestrian bridge near Ninh Kieu Wharf, famous for its colorful evening lights and 'love locks' left by couples.",Can Tho 
Can Tho Market,"136 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.2,Landmarks,"The main indoor market in Can Tho, located in a historic building. Sells fresh produce, local goods, and souvenirs.",Can Tho 
Binh Thuy ancient house,"144 Bui Huu Nghia Street, Binh Thuy Ward, Binh Thuy District",4,Museums,"A well-preserved 19th-century house (Nha Co Binh Thuy) blending French, Chinese, and Vietnamese architecture. Famous as a filming location for 'The Lover'.",Can Tho 
Ong Pagoda (Quang Trieu Assembly Hall),"32 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Shrines/Temples,"A vibrant 19th-century Chinese pagoda, notable for its intricate woodcarvings, colorful decorations, and incense coils.",Can Tho 
Mekong Delta River,"Hung Phu Ward, Ninh Kieu District",4.5,Landmarks,"A general reference to the Mekong River, which is the lifeblood of the region, encompassing the floating markets and islands.",Can Tho 
Military Zone 9 Museum,"6 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Museums,"A museum displaying artifacts, weapons, and vehicles from the Vietnam War, focusing on the military history of the Mekong Delta (Military Region 9).",Can Tho 
Relic Park Plums,"Ta Thi Phi Street, An Binh Ward, Binh Thuy District",4.2,Landmarks,"A local eco-garden or orchard where visitors can see and pick plum fruits, popular during the harvest season.",Can Tho 
Bang Lang Stork Sanctuary,"Thuan An Ward, Thot Not District",3.8,Landmarks,"A large bird sanctuary (Vuon Co Bang Lang) where thousands of storks, herons, and other birds gather, best viewed at dawn or dusk.",Can Tho 
Museum of Tarot,"44 Nguyen Khuyen Street, Tan An Ward, Ninh Kieu District",4.6,Museums,"A unique museum dedicated to the history, art, and symbolism of Tarot cards from around the world.",Can Tho 
Muniransay Khmer Buddhist Temple,"36 Hoa Binh Avenue, Tan An Ward, Ninh Kieu District",4.4,Shrines/Temples,"A prominent Khmer Buddhist temple (Wat Munirangsay) in the city center, known for its vibrant, ornate Theravada architecture.",Can Tho 
Ho Chi Minh Monument,"24 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.6,Landmarks,"A large bronze statue of Ho Chi Minh located at Ninh Kieu Wharf, a major city landmark.",Can Tho 
Poet Phan Van Tri's Tomb Historical Site,"Phong Dien Town, Phong Dien District",4.3,Museums,"A historical site and tomb dedicated to Phan Van Tri, a prominent 19th-century patriotic poet.",Can Tho 
Ngoc Huong My Khanh Dragon Fruit Garden,"37, Group 15, My Nhon Hamlet, My Khanh Commune, Phong Dien District",4.8,Landmarks,"A local farm specializing in growing dragon fruit, open to visitors for tours and tasting.",Can Tho 
Quang Ninh Gate Tourist Attraction,"Noi Bai - Ha Long Expressway, Binh Duong, Dong Trieu, Quang Ninh",4,Landmarks,"A large rest stop and tourist complex on the expressway, designed as a gateway to Quang Ninh province with shops and services.",Quang Ninh
Thien Cung Cave,"Ha Long Bay, Ha Long City, Quang Ninh",4.8,Landmarks,"'Heavenly Palace Cave.' A large cave on Dau Go Island in Ha Long Bay, famous for its magnificent stalactites and stalagmites.",Quang Ninh
Dau Go Cave,"Cat Hai, Hai Phong",4.5,Landmarks,"'Wooden Stakes Cave.' A large cave on Dau Go Island, near Thien Cung, historically linked to General Tran Hung Dao's victory at the Battle of Bach Dang.",Quang Ninh
Cai Bau Pagoda,"Hamlet 1, Van Don, Quang Ninh",4.6,Shrines/Temples,"Also known as Truc Lam Giac Tam Zen Monastery, this is a large, scenic pagoda complex in Van Don overlooking Bai Tu Long Bay.",Quang Ninh
Bai Tho Mountain,"Hang Noi, Hong Gai Ward, Ha Long, Quang Ninh",4.2,Landmarks,"'Poem Mountain.' A limestone mountain in Ha Long City, famous for a 15th-century poem carved by King Le Thanh Tong. Offers panoramic bay views.",Quang Ninh
Old Bai Chay Lighthouse,"2 Ha Long Street, Bai Chay Ward, Ha Long, Quang Ninh",4.4,Landmarks,"A historic lighthouse, now a popular photo spot, offering views of the Bai Chay Bridge and Ha Long Bay.",Quang Ninh
Thanh Dang Mountain,"Thanh Son Ward, Uong Bi City, Quang Ninh",4.9,Landmarks,"A mountain in Uong Bi, part of the Yen Tu range. It is the location of the famous Ba Vang Pagoda.",Quang Ninh
Yen Tu Mountain,"Thuong Yen Cong Commune, Uong Bi City, Quang Ninh",4.5,Shrines/Temples,"A sacred Buddhist mountain range, the cradle of Truc Lam Zen Buddhism, featuring a complex of pagodas and temples accessible by cable car.",Quang Ninh
Ba Vang Pagoda,"Group 17B, Area 5A, Quang Trung Ward, Uong Bi City, Quang Ninh",4.5,Shrines/Temples,"A large, well-known Buddhist pagoda complex located on Thanh Dang Mountain, attracting many pilgrims.",Quang Ninh
Khe Van Waterfall,"Huc Dong Commune, Binh Lieu District, Quang Ninh",4.3,Landmarks,"A scenic, multi-tiered waterfall in the mountainous Binh Lieu District, a popular destination for trekking and nature lovers.",Quang Ninh
Man Mountain,"Thong Nhat Commune, Hoanh Bo, Quang Ninh",4.3,Landmarks,"A mountain in the Hoanh Bo area (now part of Ha Long City), offering natural scenery and hiking opportunities.",Quang Ninh
Sun World Halong Park,"9 Ha Long Street, Bai Chay Ward, Ha Long, Quang Ninh",4.4,Landmarks,"A large amusement park complex featuring the Queen Cable Car, Sun Wheel, Zen Garden, and a dragon-themed park.",Quang Ninh
Sung Sot Cave,"Ha Long Bay, Ha Long City, Quang Ninh",4.5,Landmarks,"'Surprise Cave.' One of the largest and most famous caves in Ha Long Bay, located on Bo Hon Island, featuring three large chambers.",Quang Ninh
Sun Marina Ha Long,"Ke Quan, Tuan Chau Ward, Ha Long, Quang Ninh",4.7,Landmarks,"A modern, large-scale international marina and harbor for tourist cruises and yachts, located on Tuan Chau Island.",Quang Ninh
An Sinh Temple,"An Sinh Commune, Dong Trieu, Quang Ninh",4.4,Shrines/Temples,"A historical temple in Dong Trieu, part of a complex dedicated to the kings and ancestors of the Tran Dynasty.",Quang Ninh
Cai Chien Island,"Cai Chien Commune, Hai Ha District, Quang Ninh",4.2,Landmarks,"A remote island known for its pristine beaches, clear waters, and developing eco-tourism, offering a peaceful getaway.",Quang Ninh
Halong View Tower,"Bai Chay Ward, Ha Long City, Quang Ninh",4.3,Landmarks,"Likely referring to the Sun Wheel, a large Ferris wheel in the Sun World complex that functions as an observation tower.",Quang Ninh
Lang Cang Waterfall,"Don Dac Commune, Ba Che District, Quang Ninh",4.2,Landmarks,"A natural waterfall in the remote Ba Che District, known for its scenic beauty in the middle of a forest.",Quang Ninh
Zen Garden,"Dang Ba Hat Street, Hong Gai Ward, Ha Long, Quang Ninh",4.4,Landmarks,"A Japanese-style garden located on Ba Deo Hill within the Sun World Halong Park complex, accessible via the Queen Cable Car.",Quang Ninh
Mo Waterfall - Dong Trieu,"Dong Trieu Town, Quang Ninh",4.5,Landmarks,"'Dream Waterfall.' A scenic natural waterfall in Dong Trieu, a popular local spot for picnics and swimming.",Quang Ninh
Tay Yen Tu Tourist Area,"Tay Yen Tu, Son Dong District, Bac Giang",4.5,Shrines/Temples,"The 'West Yen Tu' spiritual and eco-tourism complex, located on the Bac Giang side of the Yen Tu mountain range, with temples and a cable car.",Quang Ninh
Ba Tang Mountain,"Bac Son Ward, Uong Bi City, Quang Ninh",4.6,Landmarks,"'Three-Tiered Mountain.' A scenic mountain in Uong Bi, part of the Yen Tu range, offering natural landscapes.",Quang Ninh
Cat Cat Tourism Village,"Cat Cat Hamlet, Sa Pa",4.1,Landmarks,"A H'mong ethnic village known for its traditional crafts, rice terraces, and a scenic waterfall. A popular trekking destination.",Sapa
Sapa Lake Square,"Xuan Vien Street, Sa Pa Town",4.6,Landmarks,"A central public space located next to Sapa Lake, a popular spot for strolling, relaxing, and local events.",Sapa
Sapa Square,"Thach Son Street, Sa Pa Town",4.5,Landmarks,"The main town square of Sa Pa, located in front of the Stone Church. A major hub for tourists and local activities.",Sapa
Moana Sapa,"68 Violet Street, Cau May Ward, Sa Pa",4.2,Landmarks,"A large outdoor photo attraction complex featuring elaborate statues (like a giant hand), a 'sky gate', and panoramic valley views.",Sapa
Sapa Park,"Thach Son Street, Sa Pa Town",4.2,Landmarks,"A public park in the town center, featuring gardens, a small lake, and recreational space for locals and tourists.",Sapa
Ham Rong Sa Pa Eco-Tourism Area,"Ham Rong Street, Sa Pa Town",4.3,Landmarks,"A mountain park behind the Stone Church, featuring flower gardens, viewpoints like 'Cloud Yard', and unique rock formations.",Sapa
Hang Pho Temple,"32 Fansipan Street, Sa Pa Town",4.6,Shrines/Temples,"A local temple in Sa Pa town, serving the spiritual needs of the community.",Sapa
Sa Pa Stone Church,"Ham Rong Street, Sa Pa Town",4.4,Shrines/Temples,"An iconic neo-Gothic Catholic church in the town center, built by the French in the early 20th century. A major landmark.",Sapa
Sa Pa Sha,Sa Pa,4.8,Landmarks,"A check-in spot or cafe with views, as indicated by its name and high rating.",Sapa
Silver Waterfall Sa Pa,"San Sa Ho Commune, Sa Pa",4.2,Landmarks,"A tall, powerful waterfall located on National Highway 4D, a popular stop on the way to O Quy Ho Pass.",Sapa
Sapa Ancient Rose Garden,"Sa Pa Commune, Sa Pa",4.3,Landmarks,"A large garden specializing in growing various species of ancient and climbing roses, a popular spot for flower lovers.",Sapa
Ta Phin Ancient Monastery,"Ta Phin Commune, Sa Pa",4.1,Shrines/Temples,"The atmospheric ruins of a French Catholic monastery and convent, abandoned since the 1940s, located near Ta Phin village.",Sapa
Sky Gate of O Quy Ho,"Son Binh Commune, Sa Pa",4.4,Landmarks,"A scenic viewpoint at the peak of O Quy Ho Pass, one of Vietnam's highest mountain passes, offering vast views.",Sapa
Sapa Green Valley,"National Highway 4D, Sa Pa Commune, Sa Pa",4.4,Landmarks,"A scenic spot or resort located along the main highway, highlighting the green valleys of the region.",Sapa
Sapa Ancient Stone Gallery,"Muong Hoa Commune, Sa Pa",4,Museums,An archaeological site in Muong Hoa Valley featuring large boulders with ancient petroglyphs carved by unknown prehistoric inhabitants.,Sapa
Muong Hoa Stream,"Ta Van Commune, Sa Pa",4.7,Landmarks,"A scenic stream that flows through the Muong Hoa Valley, alongside rice terraces and ethnic minority villages.",Sapa
Ansapa Village,"51 Thanh Cong Street, Sa Pa Town",4.1,Landmarks,"A restaurant or guesthouse in Sapa town, offering local ethnic cuisine and hospitality.",Sapa
Ta Phin Village - SaPa,"Ta Phin Commune, Sa Pa",4.3,Landmarks,"A village inhabited by the Red Dao ethnic group, famous for its intricate brocade embroidery and traditional herbal baths.",Sapa
Sa Pa Night Market,"Luong Dinh Cua Street, Sa Pa Commune, Sa Pa",4.1,Landmarks,"A bustling market open in the evenings, where visitors can buy local souvenirs, handicrafts, and sample Sapa street food.",Sapa
Hoi An ancient town,"94 Bach Dang Street, Minh An Ward, Hoi An",4.7,Landmarks,"A UNESCO World Heritage site, a well-preserved example of a Southeast Asian trading port from the 15th to 19th centuries.",Hoi An
Quan Thang Ancient House,"77 Tran Phu Street, Minh An Ward, Hoi An",4.3,Museums,"A 18th-century merchant's house, showcasing rich Chinese architectural influences and intricate wood carvings.",Hoi An
Hoi An Market,"19 Tran Phu Street, Cam Chau Ward, Hoi An",4.4,Landmarks,"The main market of Hoi An, bustling with vendors selling fresh produce, local food, silk, and souvenirs.",Hoi An
The Old House of Phung Hung,"4 Nguyen Thi Minh Khai Street, Minh An Ward, Hoi An",3.7,Museums,"A historic 18th-century merchant's house, blending Vietnamese, Japanese, and Chinese architectural styles.",Hoi An
Silk Village Hoi An - The Tourist,"28 Nguyen Tat Thanh Street, Tan An Ward, Hoi An",4.3,Landmarks,"A tourist complex showcasing the traditional silk-making process, from silkworms to weaving, with gardens and a showroom.",Hoi An
Hoi An Memories Land,"Con Hen, 200 Nguyen Tri Phuong, Cam Chau Ward, Hoi An",4.6,Landmarks,"The location of the 'Hoi An Memories' cultural show, featuring an outdoor stage, themed village, and performances.",Hoi An
VinWonders Nam Hoi An,"Vo Chi Cong Street, Binh Duong Commune, Thang Binh District",4.9,Landmarks,"A large amusement park and entertainment complex, featuring rides, a water park, and a 'River Safari'.",Hoi An
Museum of Folk Culture,"33 Nguyen Thai Hoc Street, Minh An Ward, Hoi An",4.3,Museums,"A museum in a historic house, displaying artifacts related to the folk culture and traditions of Hoi An's residents.",Hoi An
Hoi An Night Market,"Nguyen Hoang Street, Minh An Ward, Hoi An",4.4,Landmarks,"A lively market on An Hoi Island, famous for its colorful lanterns, street food, and souvenir stalls.",Hoi An
An Bang Beach,"Hai Ba Trung Street, Hoi An",4.3,Landmarks,"A popular beach near Hoi An, known for its soft sand, clear water, and beachfront restaurants.",Hoi An
Old House of Tan Ky,"101 Nguyen Thai Hoc Street, Minh An Ward, Hoi An",4.2,Museums,"A UNESCO-recognized 18th-century merchant's house, perfectly preserved and blending multiple architectural styles.",Hoi An
Memories of Hoi An,"94 Huyen Tran Cong Chua Street, Cam Chau Ward, Hoi An",4.6,Landmarks,"The 'Hoi An Memories' cultural show, an outdoor spectacle on an island in the Hoai River.",Hoi An
Kim Bong Carpentry Village,"Cam Kim, Hoi An City",4.6,Landmarks,"A traditional craft village on Cam Kim island, renowned for its skilled woodcarvers and carpenters.",Hoi An
Hoi An sculpture promenade,"An Hoi Ward, Hoi An",4,Landmarks,"A path along the Hoai River on An Hoi island, featuring various sculptures and art installations.",Hoi An
Cam Pho Communal House,"52 Nguyen Thi Minh Khai Street, Minh An Ward, Hoi An",4.2,Shrines/Temples,"A historic communal house (Ðình), a place of worship and community meetings, typical of Vietnamese villages.",Hoi An
Japanese Covered-Bridge,"Nguyen Thi Minh Khai Street, Minh An Ward, Hoi An",4.3,Landmarks,"The iconic 18th-century bridge and temple, a symbol of Hoi An, built by the Japanese community.",Hoi An
Thanh Ha Pottery Village,"Pham Phan Street, Thanh Ha Ward, Hoi An",4.3,Landmarks,"A traditional craft village dating back over 500 years, known for its clay pottery and terracotta products.",Hoi An
Hoai River in Hoi An Old Town,"An Hoi Ward, Hoi An",4.6,Landmarks,"The scenic river that flows through Hoi An, central to the town's life and lantern-lit evenings.",Hoi An
Cua Dai Beach,"Cua Dai Ward, Hoi An",4.5,Landmarks,"A long sandy beach near Hoi An, once very popular, though it has experienced significant coastal erosion.",Hoi An
The Center for Culture and Sports of Hoi An city,"01 Cao Hong Lanh Street, Hoi An",4,Landmarks,"A government building and venue for local cultural events, sports, and community activities.",Hoi An
Old Town Sunset View Point,"Tran Hung Dao Street, Cam Pho Ward, Hoi An",4.5,Landmarks,"A scenic spot, likely on a rooftop or by the river, offering a good view of the sunset over the ancient town.",Hoi An
Hue Imperial City,"Phu Hau Ward, Hue",4.5,Landmarks,"A UNESCO World Heritage site, this walled fortress and palace was the capital of the Nguyen Dynasty. ",Hue
Hue Historic Citadel,Hue,4.5,Landmarks,"The outer, fortified wall of the Imperial City, encompassing the main palaces and residential areas.",Hue
Hue Walking Street,"Vo Thi Sau Street, Phu Hoi Ward, Hue",4.4,Landmarks,"A vibrant pedestrian area known for its nightlife, street food, bars, and shops.",Hue
Thien Mu Pagoda,"Huong Hoa Ward, Hue",4.5,Shrines/Temples,"'Pagoda of the Celestial Lady.' An iconic seven-story pagoda, the tallest in Vietnam, overlooking the Perfume River.",Hue
Mausoleum of Emperor Tu Duc,"Thuong Ba Hamlet, Thuy Xuan Ward, Hue",4.5,Shrines/Temples,"A serene and expansive tomb complex for Emperor Tu Duc, featuring a lake, pavilions, and pine forest.",Hue
Dien Tho Palace,"75 Le Huan Street, Phu Hau Ward, Hue",4.5,Landmarks,"'Palace of Longevity.' A residence within the Imperial City, built for the Queen Mothers of the Nguyen Dynasty.",Hue
Hue Western Quarter,"29 Chu Van An Street, Phu Hoi Ward, Hue",4.5,Landmarks,"The foreigner-friendly neighborhood, home to many hostels, bars, and restaurants.",Hue
Mausoleum of Emperor Khai Dinh,"Chau Chu Mountain, Thuy Bang Commune, Huong Thuy Town",4.5,Shrines/Temples,"A unique tomb blending Vietnamese and European (Baroque) architectural styles, known for its intricate mosaic interiors.",Hue
Royal Costumes,"72 Ong Ich Khiem Street, Thuan Hoa Ward, Hue",4.5,Museums,A popular shop or museum for renting and photographing in royal Nguyen Dynasty costumes.,Hue
An Hien Garden House,"58 Nguyen Phuc Nguyen Street, Huong Long Ward, Hue",4,Landmarks,"A traditional 19th-century garden house, showcasing classic Hue architecture and a peaceful garden.",Hue
Nine Holy Cannons,"Phu Hau Ward, Hue",4.5,Landmarks,"Located at the entrance of the Imperial City, these nine massive cannons are symbolic guardians of the citadel.",Hue
An Dinh Palace,"179 Phan Dinh Phung Street, Phu Nhuan Ward, Hue",4.5,Landmarks,"A 20th-century royal palace with French colonial architecture, once the private residence of Emperor Khai Dinh and King Bao Dai.",Hue
Tam Toa,"Tong Duy Tan Street, Phu Hau Ward, Hue",4.4,Shrines/Temples,"'The Three Courts.' A historic building in the Imperial City, associated with royal ceremonies, later becoming a Catholic church.",Hue
Temple of Literature,"Van Thanh Street, Long Ho Ward, Hue",4.4,Shrines/Temples,"A Confucian temple complex, similar to Hanoi's, dedicated to scholars and education.",Hue
Hue Museum of Royal Antiquities,"03 Le Truc Street, Phu Hau Ward, Hue",4.5,Museums,"Located within the Imperial City, this museum displays artifacts, furniture, and treasures from the Nguyen Dynasty.",Hue
Meteorological Tower,"Ong Ich Khiem Street, Thuan Hoa Ward, Hue",4.4,Landmarks,"An old observatory tower, part of the Imperial City complex, used for astronomical and meteorological observations.",Hue
Bao Vinh Ancient Town,"131 Bao Vinh, Huong Vang, Huong Tra Town",4.4,Landmarks,"A small, ancient port town near Hue, offering a glimpse of 19th-century architecture and a quieter atmosphere.",Hue
Tu Hieu Pagoda,"Duong Xuan Thuong III Village, Thuy Xuan Ward, Hue",4.8,Shrines/Temples,A historic Zen pagoda known for its tranquil forest setting and being the resting place of many imperial eunuchs.,Hue
Thuy Xuan Incense-making Village,"62 Huyen Tran Cong Chua Street, Thuy Xuan Ward, Hue",4.2,Landmarks,"A traditional craft village where residents make colorful, scented incense sticks. A popular spot for photos.",Hue
Ho Quyen,"373 Bui Thi Xuan Street, Phuong Duc Ward, Hue",4.1,Landmarks,'Tiger Arena.' A 19th-century arena where royal fights between elephants and tigers were staged for the monarchy.,Hue
Luong Dinh Pavilion,"Le Duan Street, Phu Thuan Ward, Hue",4.8,Landmarks,"A royal pavilion on the banks of the Perfume River, used by emperors as a resting place and to view boat races.",Hue
Tinh Tam Lake,"Thuan Thanh Ward, Hue",4.4,Landmarks,"'Lake of Serenity.' A large, historic lake within the Imperial City walls, once a royal garden, known for its lotus flowers.",Hue
Hon Chen Shrine,"Hai Cat Village, Huong Tra Town",4.4,Shrines/Temples,"A temple on a riverside cliff, dedicated to the goddess Po Nagar and the 'Mother Goddess' faith.",Hue
