name,address,ratings,category,description,location,image_url
Museum of Armored Forces,"108 Hoang Quoc Viet Street, Nghia Tan Ward, Cau Giay District",4.4,Museums,"Presents the history of the Vietnamese Armored Forces, featuring tanks and armored vehicles used in the Vietnam War and other conflicts.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwydGUM25hlVQhYyFaAuew7XxIAEQbg1v4N5iJ6Pj8DFLLe6Vt4J-0Ye08lrrmDGdn95QYaiWFWlJeHoflR9ylCnEhG62UOwtTfn1WfaP1b2A4Itre0bWu_OLGPsZEmFhAPoEu3fA=w32-h32-p-k-no
Vietnam Museum of Literature,"275 Au Co Street, Quang An Ward, Tay Ho District",4.3,Museums,"Celebrates Vietnam's literary history, featuring thousands of artifacts, manuscripts, and exhibits dedicated to renowned Vietnamese writers.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIY6OyDS7GICGDM0X2t2r383qGCkVxujmdijTGL6mVpQoElLydei4iKRHuCNLr-IrBRvjgwF1N1SjrQYzxOy_Kaf_A6Cy-cjllXYfFRHErk7eCYy22gIijCx6DmEMlaLn4wX8zMklv6kZx=w32-h32-p-k-no
Ngoc Son Temple,"Dinh Tien Hoang Street, Hang Trong Ward, Hoan Kiem District",4.4,Shrines/Temples,"Temple of the Jade Mountain. Located on an islet in Hoan Kiem Lake, accessed by the red The Huc Bridge. Dedicated to General Tran Hung Dao.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzccCHuNEht3mw3mAi5PgtDDTS8K81tWboOjMe6ub68v0Yo30MeG5rK__KEaqW_P2NJHgDVBMKZHjREa64MY8RoAUva8SYsDDYBV6X_ozT4CNRDrXMUWWh3g8BxK8yh--hHw3ZW=w32-h32-p-k-no
Hai Ba Trung Temple,"12 Huong Vien Street, Dong Nhan Ward, Hai Ba Trung District",4.4,Shrines/Temples,"A temple dedicated to the two Trung Sisters (Trung Trac and Trung Nhi), who led a rebellion against Chinese rule in 40 AD.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwDQPVGv1zfwNR7_Irx5-pdAQIhKBKd1DX_mbFH4vNZagESG1Pol5DOdF6yLoiyigcCMQZsgSK86yrP-zwHBtRLzJR0KxiecN45aEqm46aPVYTV8C1JwQe2fv7P1-r6Q6W0p3UfGQ=w32-h32-p-k-no
St. Joseph Cathedral,"1 Nha Tho Street, Hang Trong Ward, Hoan Kiem District",4.6,Shrines/Temples,"A late 19th-century neo-Gothic church, the oldest in Hanoi. Serves as the cathedral of the Roman Catholic Archdiocese of Hanoi.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2rr_fFCpBj8-Ta7O83Cg_sD0_VXGIgLakJTKA33NNqnN5WGsQABUTK4veMVdr5__gEJKD9RqbVqbZXZNe3dJJp53FJg34P4KWJgZT-nL4RhJGGzTOzeGrD-g4-vUiJYRvfOnd=w114-h86-k-no
St Anthony Ham Long Church,"21 Ham Long Street, Phan Chu Trinh Ward, Hoan Kiem District",4.6,Shrines/Temples,"A Roman Catholic church built in 1934, known for its blend of Gothic architecture and traditional Vietnamese decorative elements.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzSfMwqUmWHzGNK8gAoORiyXvq-Arm2ddGxsM_JD5R2pf9aT6mXhhK6YDOyjLTCnID_C9pQAVRPjvW3MsGRnt_p_yTiZTemRauifcmQRqoOHJ38hFNjqZNSX1fyh2a6pETwlf_O2B3X-3g-=w32-h32-p-k-no
Ba Kieu Temple,"59 Dinh Tien Hoang Street, Hang Trong Ward, Hoan Kiem District",4.4,Shrines/Temples,"A temple located opposite Ngoc Son Temple (by Hoan Kiem Lake), dedicated to the princess Lieu Hanh, one of 'The Four Immortals' in Vietnamese folk religion.",Ha Noi,
Voi Phuc Temple,"362 Kim Ma Street, Ngoc Khanh Ward, Ba Dinh District",4.7,Shrines/Temples,"Temple of the Kneeling Elephant. One of the 'Four Sacred Temples' of Hanoi, guarding the western gate of the ancient Thang Long citadel.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyNzBGOUW1HoPh_yRIZx6FZs686yPahzorOATmDn9mmH-c2s2Rj8qKHNMYHVnM1QJIq7SOxhRXcJHJ70NAVCZ2RY2xwaQY3QQRaG65lc9mcx7mXWCfkkhQhM3cjw6NcI30BKJM5Npow-x7B=w32-h32-p-k-no
Ly Trieu Quoc Su Pagoda,"50 Ly Quoc Su Street, Hang Trong Ward, Hoan Kiem District",4.4,Shrines/Temples,"A historic Buddhist pagoda dedicated to Ly Quoc Su, a meditation master and healer from the Ly Dynasty. Also known for its vegetarian food.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxdrKSUvPTsuxf6bxTYemngkjryEpA9fYpeGFV0MyK8DH8mcYU8nIjHFW-MqZLX3om4Y8am9djhuDJRHBEYLK1a8IR6lXkuw26ViPIgQgKYdN6SXWCGoTOeyCbPKuz9WzUfRP0i=w86-h114-k-no
Quan Thanh Temple,"190 Quan Thanh Street, Quan Thanh Ward, Ba Dinh District",4.5,Shrines/Temples,"One of the 'Four Sacred Temples' of Hanoi, guarding the northern gate. Dedicated to Huyen Thien Tran Vu, the God of the North.",Ha Noi,https://lh3.googleusercontent.com/p/AF1QipPdJyppfXY0PHzTUM3rrUrgiMX99mcjQrOD_qBm=w32-h32-p-k-no
Quan Su Pagoda,"73 Quan Su Street, Tran Hung Dao Ward, Hoan Kiem District",4.7,Shrines/Temples,The central headquarters of the Vietnam Buddhist Sangha. A significant center for Buddhist activities in the northern region.,Ha Noi,https://lh3.googleusercontent.com/p/AF1QipN6VL5QZX-_QrdOJ3xp8ZWqiaL8ghznfSqvUyKA=w32-h32-p-k-no
Hong Phuc Tu - Hoe Nhai Pagoda,"19 Hang Than Street, Truc Bach Ward, Ba Dinh District",4.5,Shrines/Temples,"An ancient Buddhist pagoda, also known as Hoe Nhai Pagoda. Famous for a 17th-century statue depicting a kneeling king (Emperor Le Hy Tong).",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwUEucRGbGvmYcsBah-bgD1OyALB5Ehxo-iMcKfM5I7hqFbG4pG9rbKhVU8_-h5KgiCfPPUYXEWFNoDZ1GfbmQ3YxrcVURo5PeJ47d8HCcpCM3ciKQ381bZ_acuyAU0kw-SWVA8=w32-h32-p-k-no
Ba Da Pagoda,"3 Nha Tho Street, Hang Trong Ward, Hoan Kiem District",4.5,Shrines/Temples,"An ancient pagoda located near St. Joseph's Cathedral, originally built in the 11th century. A quiet place of worship in the city center.",Ha Noi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoDJHq5C5RuMx4PKWTJ1gVdETM3GN3kyh3vcspMBdO2F-ekC53I55apnmzIr8n-wlJYEwIQpWUzGspxKoM9e9iV6eN3HDbgiZYyW-_hkxrdxHAF0GscNVQXWjmuRtASX1q4RHOZA=w32-h32-p-k-no
Lang Pagoda,"116 Chua Lang Street, Lang Thuong Ward, Dong Da District",4.6,Shrines/Temples,"A large Buddhist temple complex, also known as Chieu Thien Tu. Dedicated to Tu Dao Hanh, a prominent monk from the Ly Dynasty.",Ha Noi,https://lh3.googleusercontent.com/p/AF1QipPiZacEMcQ7BNCa3A1xrEZDQBaSDjttpLXYj7Pj=w122-h86-k-no
The Marble Mountains,"81 Huyen Tran Cong Chua Street, Hoa Hai Ward, Ngu Hanh Son District",4.3,Shrines/Temples,"A cluster of five marble and limestone hills, home to caves, grottoes, and Buddhist sanctuaries.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9Tfw7nOevu0KWIPBLXSV0vkSWc_MDxprWH8u2VaF_-JqyEtWdrn6zHzrLk4F8e7LntEJ8KFGY-V_SQGULG_oX3kdE4KmWZGtYuQpzkH7n8KLqNMgtToR5YhkHoV9JgG3fgX2VHQ=w32-h32-p-k-no
Da Nang Museum of Cham Sculpture,"02 2 Thang 9 Street, Binh Hien Ward, Hai Chau District",4.2,Museums,"A museum displaying the world's largest collection of Cham sculpture, dating from the 7th to the 15th centuries.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwc-Ucws5uMYwR0gz0r83jJcJA_zlaHPjb5IemBi0ejp9YPMv-SXWW52BiL1IdB6bykS-HG_d8V9rJIKyzqlRJBZpn_LykaU2R5JCU9NchIQHc4vydJLndXV65UwK7nCoP3yvBo=w32-h32-p-k-no
Dragon Bridge,"Dragon Bridge, An Hai Ward, Son Tra District",4.5,Landmarks,"A modern bridge over the Han River, famous for its dragon shape. It breathes fire and spouts water on weekend nights.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSLgE4F_N9d46wDR0RCU-Q0GU-1n8l6PbjbfTXjuwq2OyXL2xknM0UgS8p4z3GsIq93vM2TvVRxy2egoxtAIw0KO34dWmOZLfIQlk2krUCgjImSaBp7uGV04Adnbvz9whCsthp=w32-h32-p-k-no
3D Museum Art in paradise Da Nang,"Lot 10, Tran Nhan Tong Street, Tho Quang Ward, Son Tra District",4.4,Museums,"An interactive 3D art museum with optical illusion paintings, allowing visitors to pose and become part of the artwork.",Da Nang,https://lh3.googleusercontent.com/p/AF1QipOYrxPILxrQwRB1wVfFFoRPxf1TopAUjI6BVs1H=w32-h32-p-k-no
Ban Co Peak,"Ban Co Peak, Tho Quang Ward, Son Tra District",4.6,Landmarks,"A scenic viewpoint on Son Tra Peninsula, featuring a large statue of a deity playing chess. Offers panoramic views of Da Nang city.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzrgbfIvzPRWbJ67YniiEJJmWspJYs0LUtpGtP66NP1Jz298-B2yjz-8JCWAh_36z60KGJfYpe1rhkUifHzpJfI4-wtcu3UCaOxb3KMxpT79bWwibWE5srmQ0ccu4yZaFdujuACrDWIDYc=w32-h32-p-k-no
Golden Bridge,Hoa Vang District,4.6,Landmarks,"A famous pedestrian bridge in the Ba Na Hills resort, held up by two giant stone hands. Offers stunning mountain views.",Da Nang,
Sun Wheel,"1 Phan Dang Luu Street, Hoa Cuong Bac Ward, Hai Chau District",4.5,Landmarks,"A large Ferris wheel located in Asia Park, offering panoramic views of Da Nang city, the Han River, and the surrounding area.",Da Nang,
Han River Bridge Viewpoint,Hai Chau District,4.5,Landmarks,"A popular spot to watch the Han River Bridge, a swing bridge that rotates on its axis at night to allow shipping to pass.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxHV0KZgOu0d-XyUDhcYI33x68SyzjWnut3xkUe9ovc5R92BSiV-l_z_RVqdRF7G7MbFR8qjdPyTByrQoEh7mQZeErAg2pc3EZjq3IniiGD7T54Y8NUJBkVudkTMIgJiBZZXbjt=w32-h32-p-k-no
Ba Na Hills,"An Son Hamlet, Hoa Vang District",4.4,Landmarks,"A mountaintop resort complex accessible by cable car. Features the Golden Bridge, a French-themed village, and amusement park rides.",Da Nang,
Vong Canh Pavilion,"Vong Canh Pavilion, Tho Quang Ward, Son Tra District",4.5,Landmarks,"A scenic viewpoint on Son Tra Peninsula, offering beautiful views of the sea and coastline.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBNQAoSMDgjxfsQzb7kTIRix6-k0goTAOSZfPS3_dcAyjgsEw3z0NdKlpyy9CDAeZ97Uh1EJe9jLsToX3rIwZsgs0IlpJtioYrZ9gFmdK1hCnoBmkgQFMEsdHqMkHmRTo8FdOu=w114-h86-k-no
Lady Buddha,"Linh Ung Pagoda, Hoang Sa Street, Tho Quang Ward, Son Tra District",4.7,Shrines/Temples,"A 67-meter tall statue of the Goddess of Mercy, located at the Linh Ung Pagoda on Son Tra Peninsula, overlooking the sea.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0Y7Wux9LfV4sCz67JTzwzxmonRl7Nk1_6EqphowVa4G9GJMRJLwVtD2QTBTC37aajslOLHHBzYFADbPhSVyQrafWxx8TSIZOMs_voRQa-qVPNJGtMYQqR0ns_EyokDiIkFwmq=w32-h32-p-k-no
Ho Chi Minh Museum,"01 Duy Tan Street, Hoa Cuong Bac Ward, Hai Chau District",4.3,Museums,A museum dedicated to the life and career of Ho Chi Minh. This branch focuses on his connection to Military Zone 5.,Da Nang,
Da Nang Fresco Village,"75 Nguyen Van Linh Street, Phuoc Ninh Ward, Hai Chau District",4.0,Landmarks,"An alleyway decorated with vibrant murals and fresco paintings, depicting local life and culture.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXfvA7O5JC-kNTq82_jjBt9la_YlkbXyi-t-hOaWhPetTfDVyKeDJSh-1bssZvwHnhR8LhgkVMfXW7wL8-zUJJ3mX2EcJmoYeXV_olPJH_i8hSy6qiF_Mus7K002meB8-uhSFauQ=w32-h32-p-k-no
Da Nang Food Tour,"4 Tran Quoc Toan Street, Phuoc Ninh Ward, Hai Chau District",4.5,Landmarks,A guided tour service that takes visitors to sample a variety of local street food and dishes in Da Nang.,Da Nang,https://lh3.googleusercontent.com/p/AF1QipP8FABtWNga-K1cDjbF2Op-VR4ZU_Wg0r2eDj1u=w32-h32-p-k-no
Phap Lam Pagoda,"574 Ong Ich Khiem Street, Phuoc Ninh Ward, Hai Chau District",4.6,Shrines/Temples,"A large, two-story Buddhist pagoda in the city center, known for its peaceful atmosphere, gardens, and an impressive seated Buddha statue.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxLqsk9HIRxr7UG0vBtRhBSaMVBEcIlkUNq4804-aHzLiKk__8z33b6BB7iuyLQmVIIoDav9mNlzqkJObVpSjliDVqqAypqpY8vKnVdYsNlMZXGL_43KxnGN8dGfATEYC4nefXIZQ=w32-h32-p-k-no
Statue of Mother Au Co,"Pham Van Dong Street, An Hai Bac Ward, Son Tra District",4.5,Landmarks,"A statue located in a park, depicting the mythical 'Great Mother' of all Vietnamese people, Au Co.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRu2mAMIfVCfjM9oA7wdwYSuW9DX8nCzaii4r0-o930-knwYqb0qj-xha_rQ8dGPx8qKghQxH8GzAycJ0WUvXcNgP7JjtjwHjkSX3i0NPsF4yuMpGiI4bTtuST2VDJqjy6JRUpJQ=w114-h86-k-no
Phuoc My Beach,"Vo Nguyen Giap Street, Phuoc My Ward, Son Tra District",4.7,Landmarks,"A popular section of Da Nang's long coastline, known for its white sand, clear water, and various water sports.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYTgYUvdUPMvEYTnnliR7jGO1bOmaKbaJVups68gzsZZ_Fs9AJ61GlIl9Ko8Tk5JLsZieDb86a6sb9lsZq3D_se13pkX3UZgaPUzl1nOQNSfLf90PbjbijqgvYDMdZPFF51l3i=w32-h32-p-k-no
Thuy Son (Water Mountain),"Thuy Son, Hoa Hai Ward, Ngu Hanh Son District",4.6,Shrines/Temples,"The largest and most famous of the five Marble Mountains (Hon Thuy Son), known as 'Water Mountain'. It features numerous caves, pagodas, and viewpoints.",Da Nang,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzS8vPFFDHy33Y9_RuwM_9DGXbRp4x7RcQdcXlBrTFJkE3lbxkOLigHmZ8ZOoqLEldIfr-LcPtFv0V6-Z30mM1ybn03_rUlFB7Mmb_3gkTSot-pMl5wByLfe_Eu4wq1Pyv_cvOL-w=w86-h114-k-no
Sculpture Tunnel,"Ward 4, Da Lat, Lam Dong",4.2,Museums,A long clay tunnel featuring intricate sculptures depicting the history and culture of Da Lat.,Da Lat,https://lh3.googleusercontent.com/p/AF1QipPWMOl0YOtYJdh3DBDEkCJ_6J1ZCNKA6oMghC8l=w32-h32-p-k-no
Valley Of Love,"3-5-7 Mai Anh Dao Street, Ward 8, Da Lat, Lam Dong",4.4,Landmarks,"A romantic-themed park surrounding a large lake, featuring flower gardens, statues, and activities.",Da Lat,
Lam Vien Square,"Tran Quoc Toan Street, Ward 1, Da Lat, Lam Dong",4.5,Landmarks,"The central square of Da Lat, famous for its two large glass structures resembling a wild sunflower and an artichoke bud.",Da Lat,
Cam Ly Waterfall,"8b Hoang Van Thu Street, Ward 5, Da Lat, Lam Dong",3.1,Landmarks,"A waterfall located near the city center, though its popularity has declined due to pollution.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSySvnmNEKtK7P2vvB1og5f-Bc4eQONSQugoA40i7wRjuSJMPrL1CiZMhAYb6uIyJaOpIfom0TqOsO1ofs9qM5nZHFi2IYvkrbBcJIv88dkFoGdMaN1vHVNd8wMMxmu3d_-f_b0e=w32-h32-p-k-no
Bao Dai Palace 3,"1 Trieu Viet Vuong Street, Ward 4, Da Lat, Lam Dong",4.2,Museums,"The summer palace of Bao Dai, the last emperor of Vietnam, preserved as a museum with its original furnishings.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzX0LYwjgIoNR07pROMA8A0YKTlzSBTKQO-3qah4tOa8aMe6_3tfsjYOFamtfN4LDVVCkgMj6pThQjhyg_yyjT1IswcLHlTM5wkCoBZJvZXwlp89MExdEVpjzo_I7y7MohLtYRW=w32-h32-p-k-no
Datanla Waterfall Tourist Area,"National Highway 20, Prenn Pass, Ward 3, Da Lat, Lam Dong",4.4,Landmarks,"A popular waterfall complex, famous for its alpine coaster ride through the forest to the base of the falls.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwv5GLJfK1Q3x97sn3RkiYOmLQgpVcRCQ_4UotKRU6gzJp1YY40Vfc-eG5gQQ2y8IogSAnEaml8Kzjl_3v3yddIphmcqPO_dsXNerPQ5iOgh5E1R7AQnkocFiBbijrSRBfzVhup=w32-h32-p-k-no
Dalat Cable Car Tourist Area,"Robin Hill, Ward 3, Da Lat, Lam Dong",4.4,Landmarks,"A scenic cable car route that connects Robin Hill to the Truc Lam Zen Monastery, offering panoramic views of the city and pine forests.",Da Lat,https://lh3.googleusercontent.com/p/AF1QipO28qcjIrCVchwWfyF1gRG9ErwDxMMQDSO13eZQ=w32-h32-p-k-no
Cu Lan Village,"DT722, Lat Commune, Lac Duong District, Lam Dong",4.6,Landmarks,"An ethnic-themed eco-tourism village nestled in a forest, offering cultural activities, jeep rides, and views of Cu Lan (slow loris).",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwduYn8M1HXojHIM2ahmTIVg6dYsiPvllRoTewf3x7nTYjRrWaDRrcxQxleVe61IPe-PbhAQVjjABi3q2Azll6QANPjfmU_fob7rLvsWg_NfK6eyNs1uhUAYwBCdoW89Gk28kcS=w32-h32-p-k-no
Linh Son Pagoda,"120 Nguyen Van Troi Street, Ward 2, Da Lat, Lam Dong",4.5,Shrines/Temples,"A peaceful Buddhist pagoda in the city center, known for its elegant architecture and serene gardens.",Da Lat,
Domaine de Marie,"1 Ngo Quyen Street, Ward 6, Da Lat, Lam Dong",4.6,Shrines/Temples,"A pink, French-colonial style convent and church, known for its unique architecture and shop selling items made by local orphans.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9ChjANCRayYAecECQrZCE9Jul3GrhYLFuEcypQOJtSYzLTSsqOsTQE9XJwgnSFZcwr06jZ_jtaTkceWE2eO3h-ULFcRIdX-22DLJvblUoOcj78_BXJOWoP1ZDsr5K7USgJx_sGusnmly5=w32-h32-p-k-no
Prenn Waterfall,"National Highway 20, Prenn Pass, Ward 3, Da Lat, Lam Dong",3.7,Landmarks,"A large, scenic waterfall located at the entrance to Da Lat, set within a tourist park featuring elephant rides and a small cable car.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7Ou1uc13cIl94w380Ccldgn1GPS0SbhWePaml5xYfR8IjQSzIX2gXBY_br1rPRqZinHRTbAyCVX7QbU77VUP9SHBUAUuvbzliNZwvXvb8oTQRjHPGx-WK_YojXFe_GfoDfLeiiQ=w114-h86-k-no
Dalat City Flower Garden,"02 Tran Nhan Tong Street, Ward 8, Da Lat, Lam Dong",4.2,Landmarks,"A large park showcasing a vast collection of flowers and plants, including orchids, roses, and hydrangeas.",Da Lat,https://lh3.googleusercontent.com/p/AF1QipM4PFnWRXyha12Bukc-9RB98WJSkk-jYPmZb0HZ=w129-h86-k-no
St. Nicholas Cathedral of Da Lat,"15 Tran Phu Street, Ward 3, Da Lat, Lam Dong",4.6,Shrines/Temples,"The main Catholic cathedral of Da Lat, famous for its neo-Romanesque style and the rooster on its steeple.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykjJz6i_AAoeu3JhCK2oNzj95cowYgrZYoUkG-3yrUstRIG7X_CzehMFVq2sVYjBzcY42bYqrj1T8BkTkpqyGeEFCjOg4NCk2BNKFEL6g7OUkvUE2o5QptIEIdPLmLF-83aXccmw=w32-h32-p-k-no
Mong Mo Hill Tourist Area,"5 Mai Anh Dao Street, Ward 8, Da Lat, Lam Dong",4.3,Landmarks,"'Dreamy Hill.' A romantic park with themed gardens, cultural shows, a 'miniature Great Wall,' and views of the Valley of Love.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSydru3ByrIZrLSjGqWJoRTues-vV0qr0HsBvYmwa3rWIbGuQlNzz-Y3eVIkB9r-kh_5pZrSmPkx3TqCCEBvlOVmJ1J1P1Nra5IlGsagPq7sIwYemhE8pS_k8kCqRq4OYmR8o-uLUhg6070=w32-h32-p-k-no
Hydrangea Field,"Trai Mat Area, Ward 11, Da Lat, Lam Dong",4.2,Landmarks,"A large flower farm in the Trai Mat area, famous for its vast, picturesque fields of hydrangea flowers.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymydU2mARj_qHtxmZ1oIeTH1QJ_Uh2lymNaNdiQZxsk-U_qvslJjHUdTfYSbyllFWZom1niHI6GUt8-ADa79CMXpY2DmbfGpuOg2a-_bkOLsB-W9ck9t_t0qWLfPLj4c3Lw5Fkaw=w32-h32-p-k-no
Van Hanh Zen Monastery,"39 Phu Dong Thien Vuong Street, Ward 8, Da Lat, Lam Dong",4.5,Shrines/Temples,A Buddhist monastery known for its 24-meter high golden statue of a seated Buddha (Sakyamuni Thich Ca).,Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznEe-vGUnJFejZClzkwEdpVO9Fi3YkxBhw5Qcg0Ri8tZM2NecFzJDjGDM9OPNGBFzEPPpCA9kpFTNEt22Q2aNO55mq1Xs2tWe8u2oBetteb8PlyQZfjgrct9iOtvBm_VIBi7DO=w116-h86-k-no
Cao Dai Temple of Da Lat,"To Phuoc, Ward 11, Da Lat, Lam Dong",4.7,Shrines/Temples,"A local temple for Cao Dai (Caodaism), a Vietnamese religion that synthesizes elements from many faiths.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyuzxyIjpbVa_iptscFtSbxkzKsC6XMfFmLBSaLtQjgyUXyYXX4kCyHZ7WEadW1byoAHqFuBwQUnzaQb48qayEnCwpC9w7UvdSHG5Ujcr_cBKLXG0zhFGRoQNQ408g653PYOuSCiA=w32-h32-p-k-no
Crazy House - Hang Nga Villa,"03 Huynh Thuc Khang Street, Ward 4, Da Lat, Lam Dong",4.3,Landmarks,"An unconventional guesthouse and art gallery with a surreal, organic design, resembling a giant tree and fantasy landscape.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyp10JfXUflj6p3qTmIi3xCjgwiUZbCwbvuGB0yh_kkPXnwaqw0OoBZoibdH1vhbhMawWrIGw4pqGPkxMGAJZe799fgyJC68EaZOHgomQPQ732KXhwCdM3BKRyp5lsid7Gi552Y=w32-h32-p-k-no
Hong Dalat Valley,"Van Thanh - Suoi Hon, Da Lat, Lam Dong",4.7,Landmarks,A large rose garden and flower nursery located in Van Thanh Flower Village.,Da Lat,https://lh3.googleusercontent.com/p/AF1QipNbK3SrKBwb8quL6pKyrrDFUW-W2r7c0WKyuif5=w32-h32-p-k-no
Da Lat Market,"Nguyen Thi Minh Khai Street, Ward 1, Da Lat, Lam Dong",4.5,Landmarks,"The main central market, bustling with vendors selling local produce, flowers, and specialties. Famous for its lively night market.",Da Lat,
Fresh Garden Dalat,"90B Van Thanh, Ward 5, Da Lat, Lam Dong",4.2,Landmarks,"A large, colorful tourist garden filled with flower arrangements, themed photo spots, and large-scale sculptures.",Da Lat,https://lh3.googleusercontent.com/p/AF1QipMNB2YBTAmd26el7qEQUiDMnr4NqJhQKKXTEwMO=w32-h32-p-k-no
QUE Garden,"Van Thanh, Ward 5, Da Lat, Lam Dong",4.8,Landmarks,"A Japanese-themed garden and cafe, known for its collection of bonsai trees, koi pond, and tranquil atmosphere.",Da Lat,
Yersin Park,"Yersin Park, Ward 1, Da Lat, Lam Dong",4.3,Landmarks,"A public park located near Xuan Huong Lake, named after the famous physician Alexandre Yersin, who founded Da Lat.",Da Lat,https://lh3.googleusercontent.com/p/AF1QipPX3Mjd5Yh142Y4EOn_VaVrJgSwJW6amlVlkxmr=w32-h32-p-k-no
Light Park,"1 Ap Anh Sang Park, Nguyen Van Cu Street, Ward 1, Da Lat, Lam Dong",4.0,Landmarks,"A public park in the city center known for its fountain, landscaping, and evening lights.",Da Lat,https://lh3.googleusercontent.com/p/AF1QipOMqEmkcOlD2ZS_9V5uOk8ILtKF6BKhShtpWE8=w129-h86-k-no
Linh An Pagoda,"Ba Dinh, Nam Ban Town, Lam Ha District, Lam Dong",4.7,Shrines/Temples,"A large pagoda outside Da Lat, famous for its massive, 71-meter tall statue of Quan Yin (Bodhisattva of Mercy) and a giant laughing Buddha statue.",Da Lat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxh_VF8fzHkRMAl1WfjqV3mdL4GbkYHdTtuP9AzIMbTmulO4KEKkPKujbnU3l2y-yTmPRgeDZw_I7yW1yC_J0Xom4qeFXtToBbsk5AXCvlMoheTig_vlkBOJDbFyA7-XxuwKla09Q=w114-h86-k-no
Cai Rang Floating Market,"An Binh Ward, Ninh Kieu District",4.1,Landmarks,"The largest and most famous floating market in the Mekong Delta, where locals trade fruits, vegetables, and goods from boats.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLnXsy1WM4LguvhLII8Bsx6FT3TrpbJ_laEo9MUwARxED9H3PLj255afsjEzlKgamWRBYXPyGSUC73YaohfzoCTN0FMP8BCxnV9uYb4sMvoA0z_xsuG9sxPC3df8xMn_eTZsEZrX8XNsvN=w32-h32-p-k-no
Ninh Kieu Wharf,"106 Hai Ba Trung Street, Tan An Ward, Ninh Kieu District",4.4,Landmarks,"A scenic riverside park and boat pier in the center of Can Tho, popular for evening strolls, boat tours, and floating restaurants.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIbI4u_J9F9pa5x1jpJFxMB5soOzfaN-cJJ6ZODUYPrmcCVtTPBcPmgpLlZEKKCAQHSnEw3WtzVz8sYv77h2kZqEPHLnQsuieiLucY0sN6xf4REtJTJ3EjyHveIp1Q28S4u2pX=w32-h32-p-k-no
Truc Lam Phuong Nam Zen Monastery,"Provincial Road 923, My Khanh Commune, Phong Dien District",4.6,Shrines/Temples,"The largest Zen monastery in the Mekong Delta, known for its grand, traditional Vietnamese Buddhist architecture.",Can Tho ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtnFfN_NNmjQKHZQAWzWZZ5DSRgD4oqAWcnl7k2SXAcLr3C02YwLOWHIX6VNOFG60MUUs9TwxwgNdJ40zJSqorPbVENB2QWETgDkDdka0BvE5vUswKSJzjiTdLkiQ4ixcEGyPu=w32-h32-p-k-no
My Khanh Tourist Village,"335 My Nhon Hamlet, My Khanh Commune, Phong Dien District",4.0,Landmarks,"An eco-tourism village offering a glimpse of rural Mekong Delta life, with fruit orchards, folk games, and a small zoo.",Can Tho ,https://lh3.googleusercontent.com/p/AF1QipPAeS9Bl-Unb0CXB-87EIhaaNTiR93yK2c-AXf8=w32-h32-p-k-no
